productid,imageid,prdtypecode,file_size_kb
3804725264,1263597046,10,13.681640625
436067568,1008141237,2280,14.505859375
201115110,938777978,50,6.736328125
50418756,457047496,1280,14.06640625
278535884,1077757786,2705,19.9560546875
5862738,393356830,2280,25.302734375
91920807,907794536,10,7.4833984375
344240059,999581347,2522,19.84765625
4239126071,1325918866,1280,39.6484375
3793572222,1245644185,2582,9.7265625
1915836983,1111840281,1560,9.58984375
4127967621,1295816984,1560,22.7158203125
3287127001,1204199842,1281,38.3203125
1882164320,1109088140,1920,31.54296875
4108914287,1292441752,1560,19.466796875
3718150116,1237257586,2522,18.23046875
3735707499,1239242410,2403,33.7568359375
2666371748,1156191369,2522,11.66015625
91015572,857195931,1140,17.521484375
570628142,1027257229,2280,22.677734375
3936362802,1268740880,2583,30.568359375
3228900895,1199384348,1280,11.1748046875
1893048509,1110089245,1180,25.64453125
279822475,978593209,1140,29.48828125
3748203527,1240721678,1300,48.6435546875
211334790,948608572,2462,29.16796875
4137059841,1297749086,1280,41.1806640625
2536863974,1148154575,2522,4.2275390625
570663184,1027317460,2280,34.8193359375
3226779852,1202890774,1160,60.3134765625
4198487181,1313675704,2060,16.171875
49132716,874730792,40,35.31640625
3079667218,1195260111,1560,24.40234375
3817904723,1248853903,2522,23.828125
4237073471,1324384878,40,28.38671875
4211197055,1317753478,2060,30.349609375
3847254406,1264434293,2060,15.3818359375
4007155304,1275613423,1281,26.1669921875
4012748163,1276344493,1920,40.9296875
3147314797,1225887302,2583,16.572265625
4200874030,1316147329,60,23.7255859375
1548294503,1092313319,1180,15.88671875
824469524,1054895962,2522,7.537109375
4006528698,1275678245,1281,22.5908203125
569725834,1027001857,2280,32.1357421875
2333136838,1136619798,1920,22.9697265625
444108636,1010065513,10,20.912109375
8870838,868167157,40,56.66015625
73334276,844838682,1160,41.9296875
3748234383,1240783666,1280,26.30859375
4232229083,1322918708,40,28.6884765625
4086457567,1288958984,2403,48.33984375
272891494,1006538318,1281,24.2783203125
207151480,941622055,2583,7.3369140625
3691441491,1234869213,2403,28.06640625
3904025129,1262082265,1280,34.0498046875
476383013,1071868057,2705,18.181640625
1810701779,1102910727,2403,35.6455078125
4128438373,1295960377,2583,16.9755859375
3893192098,1260268384,1300,25.18359375
4186310238,1314541269,1280,14.7734375
2255444083,1133554532,2403,56.4794921875
845432910,1102363799,1320,27.802734375
3951008374,1268466271,1300,15.591796875
1857269337,1105831362,2583,12.04296875
2534214666,1190251480,2583,24.55078125
46540267,332521213,1140,2.841796875
4200117001,1313789346,2060,40.107421875
1512728698,1148435669,2280,55.87890625
289472891,984701340,2403,21.892578125
3929890128,1265209491,2583,16.845703125
1366398939,1076659035,2462,38.9619140625
1565732417,1090968564,1140,20.8330078125
2823144007,1166636908,2582,15.2841796875
1989328275,1118919143,2403,34.6279296875
258845359,979527054,2280,53.0986328125
4010224699,1276030225,1302,23.185546875
684292602,1035262984,2060,24.2470703125
4182265443,1310653112,1560,33.3466796875
4010221940,1276001955,1302,16.0341796875
3885602739,1258507989,50,34.47265625
4122557333,1294197004,1300,9.3408203125
532980611,1227615603,2220,8.2353515625
4213435883,1317732300,2060,34.71875
1158987675,1065997226,2583,12.9482421875
969179882,1050686036,1560,28.2626953125
298737347,991347135,2462,28.4326171875
4182233005,1310308772,1560,18.35546875
3249398687,1201827372,1280,34.8935546875
535993293,1023325242,2522,10.494140625
2050109964,1123155510,2583,17.634765625
3855161611,1253151856,2583,5.84765625
4159399664,1303739592,1920,33.2548828125
4211078394,1316896303,1280,35.5703125
2852954663,1168125620,2522,10.0029296875
4044463867,1280265865,1560,31.5302734375
4137157149,1297907405,2403,62.2177734375
4159071251,1303628870,2522,14.6279296875
3294453709,1204635212,1140,21.537109375
3908951214,1262570063,2060,40.583984375
4223031202,1321747763,2582,12.1826171875
190095382,933239989,40,42.7783203125
435273724,1007734210,2280,33.51171875
4004145763,1275336103,1920,50.6943359375
516394759,1019306612,1300,37.505859375
4172827940,1307828300,1300,24.24609375
4187799604,1312712907,1180,48.2734375
190091299,933233675,40,45.1015625
4150114277,1301011932,2583,6.3681640625
871281071,1046068518,1160,40.8857421875
388467753,1003036081,1140,24.1171875
2537777042,1148188616,2705,21.583984375
49747548,855718390,2280,34.02734375
3564368264,1221500392,2403,19.634765625
4173008727,1307881449,1302,25.99609375
4293237,226693630,1160,47.099609375
3494065274,1217414851,2583,10.5751953125
81245478,849770658,2583,9.763671875
3775275367,1243659384,2583,21.8642578125
3873228357,1256092774,1560,52.7880859375
3493552571,1217330555,1302,5.4609375
4077173787,1287255019,2060,29.01953125
223805274,957104790,2403,50.3076171875
4214101388,1319250947,2060,33.5390625
256504653,1318433614,1320,26.29296875
3893243612,1260347142,1302,18.525390625
2160576205,1129283127,1140,28.01171875
4983688,287686036,2280,31.638671875
294403626,987567622,1280,28.0986328125
1859462393,1105980910,2280,49.8330078125
3921350051,1263770707,2583,24.9033203125
1807806498,1204663650,10,10.9951171875
4170895440,1307498914,1560,32.099609375
3255495124,1202500058,1560,8.2451171875
2406558169,1140310144,1300,26.62109375
4006540302,1275716747,1281,49.5908203125
1932975409,1114982518,1280,15.9345703125
435016460,1007523858,2280,29.3935546875
1191766690,1068285873,1320,29.0322265625
2984373231,1178310262,2583,25.54296875
3879890848,1257233352,1300,27.6572265625
2142477536,1128331298,2705,21.357421875
353771623,1000493207,40,38.1865234375
2932591602,1173879377,1320,39.1591796875
1350498866,1075612752,2705,11.958984375
4101891756,1291328527,2583,4.6181640625
4187115528,1311396789,1300,23.646484375
4214664230,1319679480,1280,5.810546875
1711734999,1100084859,2905,32.6220703125
