productid,imageid,prdtypecode,bb_x,bb_y,bb_w,bb_h,bb_ar,file_size_kb,mean_r,mean_g,mean_b,downscale,upscale,exclude,phash,phash_duplicate
3804725264,1263597046,10,181,148,137,204,0.6715686274509803,13.681640625,251.474248,246.770248,246.584628,0,1,0,b3cdcc3233cc3233,0
436067568,1008141237,2280,158,117,184,265,0.6943396226415094,14.505859375,233.709468,232.69754,231.393308,0,1,0,e63399cdc6662199,0
201115110,938777978,50,74,68,351,363,0.9669421487603306,6.736328125,249.347872,251.50132,253.407576,1,0,0,b8c7cc38e38e38e1,0
50418756,457047496,1280,82,55,336,389,0.8637532133676092,14.06640625,169.912284,152.230752,149.071656,1,0,0,b994c763c659c136,0
278535884,1077757786,2705,159,98,181,303,0.5973597359735974,19.9560546875,225.420976,234.073496,238.19056,0,1,0,e4349b9bccce3131,0
5862738,393356830,2280,86,10,327,479,0.6826722338204593,25.302734375,247.070752,186.39176,134.187056,1,0,0,e9c9c666c1999366,0
91920807,907794536,10,163,118,174,264,0.6590909090909091,7.4833984375,214.435212,214.64916,214.457664,0,1,0,b199ce6699996564,0
344240059,999581347,2522,105,7,295,488,0.6045081967213115,19.84765625,231.170624,233.319992,235.83786,0,1,0,ac679ae586669992,0
4239126071,1325918866,1280,60,0,379,500,0.758,39.6484375,132.741444,129.140956,118.497316,1,0,0,ae902d4f6ac69acc,0
3793572222,1245644185,2582,24,74,456,364,1.2527472527472527,9.7265625,241.744376,241.579224,241.408156,1,0,0,e93b9290c46e6e3c,1
1915836983,1111840281,1560,115,7,290,491,0.5906313645621182,9.58984375,239.51594,231.498684,232.63696,0,1,0,bab9964a616cc6c6,0
4127967621,1295816984,1560,73,123,360,266,1.3533834586466165,22.7158203125,200.407052,202.171924,200.888256,0,1,0,f80787983d6e6a91,0
3287127001,1204199842,1281,42,93,430,322,1.3354037267080745,38.3203125,207.915548,207.542736,197.156852,1,0,0,eb1594e2dad82f81,0
1882164320,1109088140,1920,0,0,500,500,1.0,31.54296875,206.976708,197.693612,185.802456,1,0,0,dff843f7c0879041,0
4108914287,1292441752,1560,25,95,454,219,2.0730593607305936,19.466796875,232.420252,232.3673,235.315644,0,1,0,bee2c015a709d2f6,1
3718150116,1237257586,2522,7,88,492,322,1.5279503105590062,18.23046875,168.765692,165.762352,163.364816,1,0,0,af58d4a7884e3749,0
3735707499,1239242410,2403,36,0,428,500,0.856,33.7568359375,145.423332,130.454924,132.797236,1,0,0,fe94c078c4c3352f,0
2666371748,1156191369,2522,176,117,148,266,0.556390977443609,11.66015625,238.539184,238.382524,238.25398,0,1,0,e699996665986699,0
91015572,857195931,1140,81,0,336,500,0.672,17.521484375,200.329232,192.874888,184.907356,1,0,0,bbb3cccec10c3433,0
570628142,1027257229,2280,102,49,296,402,0.736318407960199,22.677734375,206.995172,204.032876,200.726084,0,1,0,b4cbcb30c3c324cf,0
3936362802,1268740880,2583,25,7,446,488,0.9139344262295082,30.568359375,191.915392,205.176248,211.480232,1,0,0,eec4e53bc2d2914a,0
3228900895,1199384348,1280,187,98,126,304,0.4144736842105263,11.1748046875,235.142984,233.743892,233.436348,0,1,0,e6999973992664cc,0
1893048509,1110089245,1180,30,0,440,500,0.88,25.64453125,110.998564,105.01536,106.91602,1,0,0,bf79632434c66694,0
279822475,978593209,1140,61,0,377,500,0.754,29.48828125,230.191248,201.136152,173.842484,1,0,0,ad92d36d9c61b232,0
3748203527,1240721678,1300,0,0,500,500,1.0,48.6435546875,171.514704,187.644992,182.389532,1,0,0,9ce221075f97e741,0
211334790,948608572,2462,0,60,500,379,1.3192612137203166,29.16796875,125.595076,124.09028,122.086328,1,0,0,c57bbb948084947f,0
4137059841,1297749086,1280,51,56,398,387,1.028423772609819,41.1806640625,223.391632,187.05832,196.43776,1,0,0,f879870f8586466e,0
2536863974,1148154575,2522,69,240,362,20,18.1,4.2275390625,250.75108,252.538836,251.601308,0,1,1,fa8785387a878578,0
